Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75093,"$75,000 under $100,000",2000,5512,6981,3482,123836,18167
75093,"$100,000 under $200,000",4320,22975,28118,14132,471805,84094
75093,"$200,000 or more",4300,51343,49313,67221,2559034,675420
,,,,,,,
75094,,8760,28517,42805,26090,724368,147138
75094,"$1 under $25,000",2040,645,928,219,4897,439
75094,"$25,000 under $50,000",1120,1491,2511,735,19081,1848
75094,"$50,000 under $75,000",940,2489,3676,1142,34849,4014
75094,"$75,000 under $100,000",960,3319,5191,1894,56332,7173
75094,"$100,000 under $200,000",2750,13457,20729,10036,290292,49852
75094,"$200,000 or more",950,7116,9770,12064,318917,83812
,,,,,,,
75098,,22100,36311,60897,26962,916394,141834
75098,"$1 under $25,000",6830,1460,2367,665,16651,1437
75098,"$25,000 under $50,000",4860,4373,7387,2513,87437,8509
75098,"$50,000 under $75,000",3490,6507,11379,3859,134902,15853
75098,"$75,000 under $100,000",2810,7218,12438,4611,167729,21235
75098,"$100,000 under $200,000",3640,13742,23325,10588,362066,59888
75098,"$200,000 or more",470,3011,4001,4726,147609,34912
,,,,,,,
75102,,620,195,449,337,16636,2577
75102,"$1 under $25,000",260,47,0,71,512,46
75102,"$25,000 under $50,000",180,0,0,0,3147,320
75102,"$50,000 under $75,000",100,81,215,112,3607,425
75102,"$75,000 under $100,000",40,0,234,0,2654,329
75102,"$100,000 under $200,000",40,67,0,154,6716,1457
75102,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75103,,5420,3543,6908,5708,184252,28585
75103,"$1 under $25,000",2200,277,531,243,4820,455
75103,"$25,000 under $50,000",1270,447,878,679,21688,2173
75103,"$50,000 under $75,000",760,572,1045,734,29427,3457
